gene	non-smoker	smoker	log2_fold_change	p_value	Regulation	Significance
ilmn_1670130_arid3a	75.37225806451613	75.07833333333333	-0.005636990690586439	0.9279264720208835	Downregulated	Not significant
ilmn_1670188_tnfsf12-tnfsf13	253.01725806451614	250.9025	-0.012108947245751263	0.8571959632393137	Downregulated	Not significant
ilmn_1664630_chek1	260.3354838709677	268.61583333333334	0.04517238043265975	0.6336171369520549	Upregulated	Not significant
ilmn_1689233_eif2b3	3453.3029032258064	3287.0416666666665	-0.07118714019212327	0.24844753519116067	Downregulated	Not significant
ilmn_1810533_slc6a15	75.37193548387097	75.09416666666667	-0.005326597081907159	0.9322800230100616	Downregulated	Not significant
ilmn_1806487_fam109b	143.22016129032258	138.11583333333334	-0.05235588011539426	0.33724749871534765	Downregulated	Not significant
ilmn_1720476_phf2	911.0958064516129	952.8883333333333	0.06470438924319719	0.4202732885171937	Upregulated	Not significant
ilmn_1774110_chn2	260.3306451612903	268.6325	0.04528870661639015	0.6327597531733136	Upregulated	Not significant
ilmn_1708151_lage3	276.476935483871	284.7158333333333	0.04236359339876922	0.4462210784331888	Upregulated	Not significant
ilmn_1765085_cgi-09	154.04451612903225	156.185	0.019908579355763553	0.7537220169041877	Upregulated	Not significant
ilmn_1671427_fbxw4	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1667306_ranbp10	154.04451612903225	156.185	0.019908579355763553	0.7537220169041877	Upregulated	Not significant
ilmn_1663616_dnajc7	260.33774193548385	308.97333333333336	0.24709784964246229	0.3637184211288481	Upregulated	Not significant
ilmn_1666932_fcgr2a	3453.3045161290324	3287.0416666666665	-0.071187814018604	0.24844314454801386	Downregulated	Not significant
ilmn_1669268_rkhd1	911.1067741935484	952.8883333333333	0.06468702223135314	0.42039296997909104	Upregulated	Not significant
ilmn_1714956_pla2g12a	78.11983870967742	72.02	-0.11729137103562119	0.09953007558453238	Downregulated	Not significant
ilmn_1813027_trim41	253.02806451612904	250.9025	-0.012170563917058114	0.8564703958406131	Downregulated	Not significant
ilmn_1682738_smad3	260.32548387096773	308.97333333333336	0.24716578088098673	0.3636025521510321	Upregulated	Not significant
ilmn_1807181_bach1	160.44387096774193	153.54583333333332	-0.06339931560355756	0.3162412637188738	Downregulated	Not significant
ilmn_1683678_dnaptp6	101.34129032258065	104.31416666666667	0.0417129971254004	0.5159375352050701	Upregulated	Not significant
ilmn_1797031_hspbap1	260.328064516129	308.97333333333336	0.24715147930179623	0.3636271877775321	Upregulated	Not significant
ilmn_1702034_pex3	242.81645161290322	230.64416666666668	-0.07419736727133895	0.5458050361171316	Downregulated	Not significant
ilmn_1767142_suhw4	137.89	176.57083333333333	0.3567292184809954	0.13442478158530544	Upregulated	Not significant
ilmn_1736555_suhw4	1970.9583870967742	1919.6433333333334	-0.03805903162985281	0.6843449542378685	Downregulated	Not significant
ilmn_1696294_snx6	253.02629032258065	250.9025	-0.012160447927700938	0.8565791576602906	Downregulated	Not significant
ilmn_1664176_fbln5	212.1698387096774	207.74416666666667	-0.030411615023347372	0.6268286195927049	Downregulated	Not significant
ilmn_1762294_adamtsl4	3453.3054838709677	3287.0416666666665	-0.07118821831434122	0.24844048838528812	Downregulated	Not significant
ilmn_1689110_nob1	3453.304677419355	3287.0416666666665	-0.07118788140123465	0.24844270185140305	Downregulated	Not significant
ilmn_1701947_gpr34	85.3316129032258	87.13666666666667	0.030199607827218842	0.7057145479213508	Upregulated	Not significant
ilmn_1662470_c10orf35	253.02290322580646	250.9025	-0.012141135387412247	0.856816924447942	Downregulated	Not significant
ilmn_1750563_ceecam1	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
ilmn_1656300_gfra2	1993.098064516129	2006.2791666666667	0.009509670361348557	0.8273461661809776	Upregulated	Not significant
ilmn_1762888_fam119a	439.58935483870965	489.7325	0.15583749025516933	0.04275550229611532	Upregulated	Significant
